arg_class_id,count,frequency
348,1223,8.888350112910391e-05
349,1142,8.299669524892613e-05
350,1384,0.00010058443627365479
351,1173,8.524967033887071e-05
352,1522,0.0001106138092546984
353,1407,0.00010225599843716205
354,1398,0.00010160190889492008
355,4199,0.00030516910976378356
356,34,2.4710049373585712e-06
357,1709,0.00012420433641017055
358,1145,8.321472509634013e-05
359,213,1.54801191663934e-05
360,1483,0.00010777942123831651
361,1407,0.00010225599843716205
362,1382,0.00010043908304204545
363,23562,0.00171240642158949
364,1470,0.00010683462523285587
365,1471,0.00010690730184866054
366,1503,0.00010923295355440979
367,1473,0.00010705265508026987
368,1519,0.0001103957794072844
369,783,5.6905790175051806e-05
370,1334,9.695060548342159e-05
371,14,1.017472621265294e-06
372,1097,7.972624753771625e-05
373,1471,0.00010690730184866054
374,1464,0.0001063985655380279
375,3055,0.0002220270612832481
376,1479,0.00010748871477509785
377,4610,0.0003350391988595004
378,1377,0.00010007569996302213
379,871,6.330133236586222e-05
380,1266,9.200859560870445e-05
381,12764,0.0009276443241307296
382,1457,0.00010588982922739525
383,1475,0.00010719800831187919
384,1169,8.495896387565206e-05
385,824,5.988553142304302e-05
386,1555,0.0001130121375762523
387,1439,0.0001045816501429113
388,35,2.5436815531632353e-06
389,1326,9.636919255698429e-05
390,1047,7.609241674748307e-05
391,1389,0.0001009478193526781
392,1302,9.462495377767235e-05
393,1427,0.00010370953075325533
394,935,6.79526357773607e-05
395,1470,0.00010683462523285587
396,1319,9.586045624635163e-05
397,3,2.180298474139916e-07
398,210,1.5262089318979412e-05
399,984,7.151378995178923e-05
400,849,6.170244681815962e-05
401,14851,0.001079320421315063
402,648,4.7094447041422184e-05
403,1384,0.00010058443627365479
404,973,7.071434717793794e-05
405,186,1.3517850539667479e-05
406,1391,0.00010109317258428743
407,1436,0.0001043636202954973
